coach,team_season,wins,ties
Bill Belichick,NE_2015,12,0
Bill Belichick,NE_2016,14,0
Bill Belichick,NE_2017,13,0
Sean Payton,NO_2009,13,0
Sean Payton,NO_2010,11,0
Sean Payton,NO_2011,13,0
none,NO_2012,7,0
Sean Payton,NO_2013,11,0
Sean Payton,NO_2014,7,0
Sean Payton,NO_2015,7,0
Sean Payton,NO_2016,7,0
Sean Payton,NO_2017,11,0
Tom Coughlin,NYG_2009,8,0
Tom Coughlin,NYG_2010,10,0
Tom Coughlin,NYG_2011,9,0
Tom Coughlin,NYG_2012,9,0
Tom Coughlin,NYG_2013,7,0
Tom Coughlin,NYG_2014,6,0
Tom Coughlin,NYG_2015,6,0
Ben McAdoo,NYG_2016,11,0
none,NYG_2017,3,0
Rex Ryan,NYJ_2009,9,0
Rex Ryan,NYJ_2010,11,0
Rex Ryan,NYJ_2011,8,0
Rex Ryan,NYJ_2012,6,0
Rex Ryan,NYJ_2013,8,0
Rex Ryan,NYJ_2014,4,0
Todd Bowles,NYJ_2015,10,0
Todd Bowles,NYJ_2016,5,0
Todd Bowles,NYJ_2017,5,0
Tom Cable,OAK_2009,5,0
Tom Cable,OAK_2010,8,0
Hue Jackson,OAK_2011,8,0
Dennis Allen,OAK_2012,4,0
Dennis Allen,OAK_2013,4,0
none,OAK_2014,3,0
Jack Del Rio,OAK_2015,7,0
Jack Del Rio,OAK_2016,12,0
Jack Del Rio,OAK_2017,6,0
Andy Reid,PHI_2009,11,0
Andy Reid,PHI_2010,10,0
Andy Reid,PHI_2011,8,0
Andy Reid,PHI_2012,4,0
Chip Kelly,PHI_2013,10,0
Chip Kelly,PHI_2014,10,0
none,PHI_2015,7,0
Doug Pederson,PHI_2016,7,0
Doug Pederson,PHI_2017,13,0
Mike Tomlin,PIT_2009,9,0
Mike Tomlin,PIT_2010,12,0
Mike Tomlin,PIT_2011,12,0
Mike Tomlin,PIT_2012,8,0
Mike Tomlin,PIT_2013,8,0
Mike Tomlin,PIT_2014,11,0
Mike Tomlin,PIT_2015,10,0
Mike Tomlin,PIT_2016,11,0
Mike Tomlin,PIT_2017,13,0
Norv Turner,SD_2009,13,0
Norv Turner,SD_2010,9,0
Norv Turner,SD_2011,8,0
Norv Turner,SD_2012,7,0
Mike McCoy,SD_2013,9,0
Mike McCoy,SD_2014,9,0
Mike McCoy,SD_2015,4,0
Mike McCoy,SD_2016,5,0
Jim L. Mora,SEA_2009,5,0
Pete Carroll,SEA_2010,7,0
Pete Carroll,SEA_2011,7,0
Pete Carroll,SEA_2012,11,0
Pete Carroll,SEA_2013,13,0
Pete Carroll,SEA_2014,12,0
Pete Carroll,SEA_2015,10,0
Pete Carroll,SEA_2016,10,1
Pete Carroll,SEA_2017,9,0
Mike Singletary,SF_2009,8,0
none,SF_2010,6,0
Jim Harbaugh,SF_2011,13,0
Jim Harbaugh,SF_2012,11,1
